Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,,SSF,,EW,EL
Washington,Pac 12,16-14,0.533,,49,7.74,45,57.17,103,89.70,8,32.64,2.68,28,54.61,30,54.61,0.00,0.00
Villanova,Big East,18-12,0.600,,51,7.68,46,57.10,79,91.55,23,30.72,2.59,62,51.41,62,51.41,0.00,0.00
MTSU,Conference USA,27-4,0.871,,45,7.81,47,56.83,72,91.79,28,30.22,2.72,107,41.93,108,41.93,0.00,0.00
Auburn,Southeastern,20-11,0.645,+5,43,7.81,48,56.67,84,91.19,24,30.66,2.74,48,52.81,48,52.81,0.00,0.00
Princeton,Ivy League,23-4,0.852,-3,41,7.90,49,56.65,87,90.91,22,30.91,2.59,83,45.38,84,45.38,0.00,0.00
S Dakota St,Summit Lg,25-5,0.833,,50,7.73,50,55.83,57,93.50,52,27.50,2.79,98,42.87,97,42.87,0.00,0.00
Illinois,Big 10,14-15,0.483,,61,7.56,51,55.41,43,96.00,85,24.58,2.63,39,53.72,39,53.72,0.00,0.00
UNLV,Mountain West,27-2,0.931,,40,7.90,52,55.20,41,96.27,92,24.11,2.63,105,42.01,106,42.01,0.00,0.00
Oregon,Pac 12,11-21,0.344,,69,7.42,53,55.04,78,91.56,39,28.65,2.91,24,55.67,24,55.67,0.00,0.00
Arkansas,Southeastern,18-14,0.563,-6,59,7.57,54,54.89,50,95.20,80,24.87,2.83,59,51.60,59,51.60,0.00,0.00
Virginia,Atlantic Coast,15-15,0.500,-3,63,7.54,55,54.72,42,96.26,102,23.63,2.71,42,53.40,42,53.40,0.00,0.00
Vanderbilt,Southeastern,22-9,0.710,-1,48,7.78,56,54.53,76,91.61,45,28.10,2.65,65,51.12,65,51.12,0.00,0.00
Georgia Tech,Atlantic Coast,17-15,0.531,+3,60,7.56,57,54.45,68,92.32,55,27.30,2.71,51,52.66,51,52.66,0.00,0.00
Florida,Southeastern,16-15,0.516,+1,58,7.57,58,54.43,34,97.20,130,22.41,2.67,40,53.53,40,53.53,0.00,0.00
California,Pac 12,18-14,0.563,+4,52,7.66,59,53.97,61,93.15,65,25.99,2.63,29,54.56,31,54.56,0.00,0.00
Georgia,Southeastern,12-18,0.400,-2,74,7.35,60,53.96,97,90.19,35,28.94,2.74,47,52.84,47,52.84,0.00,0.00
Purdue,Big 10,13-18,0.419,+3,68,7.43,61,53.89,62,92.90,62,26.16,2.68,37,53.90,38,53.90,0.00,0.00
FGCU,Atlantic Sun,27-4,0.871,-2,56,7.61,62,53.79,67,92.42,58,26.54,2.62,176,38.53,174,38.53,0.00,0.00
TCU,Big 12,20-11,0.645,+1,57,7.58,63,53.72,82,91.41,53,27.48,2.73,73,49.40,74,49.40,0.00,0.00
Columbia,Ivy League,22-5,0.815,+2,55,7.62,64,53.51,38,96.50,136,22.18,2.60,90,43.59,90,43.59,0.00,0.00
Drake,Missouri Val,26-5,0.839,+2,53,7.64,65,52.87,28,98.14,186,19.90,2.70,89,43.74,89,43.74,0.00,0.00
Seton Hall,Big East,17-14,0.548,+1,72,7.41,66,52.68,80,91.53,59,26.33,2.67,72,49.50,73,49.50,0.00,0.00
WI Green Bay,Horizon,25-6,0.806,+3,67,7.45,67,52.43,98,89.99,49,27.62,2.65,132,40.47,134,40.36,0.87,0.13
Boston College,Atlantic Coast,14-19,0.424,+4,77,7.31,68,52.41,54,94.70,114,22.88,2.82,56,52.03,56,52.03,0.00,0.00
Missouri,Southeastern,11-19,0.367,-3,83,7.22,69,52.08,59,93.35,98,23.91,2.75,54,52.30,54,52.30,0.00,0.00
Texas Tech,Big 12,17-16,0.515,+3,73,7.36,70,52.04,88,90.56,57,26.66,2.76,67,50.09,67,50.09,0.00,0.00
Minnesota,Big 10,16-15,0.516,-4,71,7.42,71,51.96,66,92.43,82,24.71,2.72,58,51.65,58,51.65,0.00,0.00
Clemson,Atlantic Coast,12-19,0.387,-2,81,7.22,72,51.85,60,93.31,101,23.71,2.73,61,51.57,61,51.57,0.00,0.00
South Florida,American Athletic,18-13,0.581,+4,90,7.17,73,51.23,119,88.00,41,28.41,2.64,86,44.14,86,43.97,0.82,0.18
Belmont,Missouri Val,24-7,0.774,-2,66,7.50,74,51.09,93,90.30,66,25.97,2.67,85,44.45,85,44.45,0.00,0.00
BYU,Big 12,16-16,0.500,-1,76,7.31,75,50.70,96,90.20,71,25.67,2.79,66,50.72,66,50.72,0.00,0.00
Toledo,Mid-American,25-4,0.862,+1,64,7.53,76,50.68,83,91.37,87,24.48,2.63,122,41.02,122,41.02,0.00,0.00
Richmond,Atlantic 10,28-5,0.848,,62,7.55,77,50.49,63,92.85,118,22.81,2.69,101,42.52,100,42.71,0.55,0.45
DePaul,Big East,12-20,0.375,-1,107,7.02,78,50.19,31,97.53,226,17.83,2.76,75,48.63,75,48.63,0.00,0.00
Northern Iowa,Missouri Val,15-14,0.517,+1,100,7.09,79,49.55,64,92.53,135,22.19,2.77,81,45.69,82,45.69,0.00,0.00
Ball St,Mid-American,27-4,0.871,+3,65,7.50,80,49.47,77,91.58,111,23.06,2.65,123,40.97,123,40.97,0.00,0.00
St John's,Big East,17-14,0.548,-5,88,7.19,81,49.42,149,86.25,42,28.34,2.69,79,46.92,79,46.92,0.00,0.00
Kentucky,Southeastern,12-20,0.375,+4,94,7.15,82,49.26,65,92.52,140,21.91,2.74,50,52.67,50,52.67,0.00,0.00
St Joseph's PA,Atlantic 10,26-5,0.839,-4,70,7.42,83,49.15,137,86.69,48,27.64,2.61,124,40.80,124,40.80,0.00,0.00
Arizona St,Pac 12,11-20,0.355,+1,91,7.17,84,49.14,95,90.21,93,24.10,2.80,33,54.25,34,54.25,0.00,0.00
Houston,Big 12,14-16,0.467,-5,89,7.19,85,49.08,91,90.34,97,23.91,2.84,68,50.06,68,50.06,0.00,0.00
UCF,Big 12,12-17,0.414,-4,99,7.10,86,48.90,122,87.82,61,26.25,2.68,70,49.73,71,49.73,0.00,0.00
Rhode Island,Atlantic 10,21-13,0.618,+8,102,7.06,87,48.88,151,86.13,47,27.92,2.68,108,41.91,105,42.18,0.45,0.55
Wake Forest,Atlantic Coast,7-25,0.219,+7,121,6.91,88,48.69,145,86.51,54,27.35,2.77,45,53.17,45,53.17,0.00,0.00
Cleveland St,Horizon,28-4,0.875,+2,75,7.33,89,48.41,85,91.02,124,22.57,2.66,204,37.14,206,37.04,0.85,0.15
Santa Clara,West Coast,24-7,0.774,,78,7.30,90,48.20,99,89.91,106,23.47,2.63,106,42.01,107,42.01,0.00,0.00
Marshall,Sun Belt,24-6,0.800,+4,87,7.20,91,48.12,35,96.74,262,16.56,2.68,164,38.92,160,39.06,0.64,0.36
